alpha,beta,mcs,s0,s1,s2,s3,s4,s5,s6,s7,length,stable
0,0,10000,0.4178,0.0161,0.1527,0.0809,0.0867,0.0956,0.0792,0.071,100,false
0,0,50000,0.4178,0.0161,0.1527,0.0809,0.0867,0.0956,0.0792,0.071,100,true
0,0,100000,0.4178,0.0161,0.1527,0.0809,0.0867,0.0956,0.0792,0.071,100,true
0,0.05,10000,0.1055,0.0003,0.4929,0.0034,0.3096,0.0141,0.004,0.0702,100,false
0,0.05,50000,0.1055,0.0003,0.4929,0.0034,0.3096,0.0141,0.004,0.0702,100,true
0,0.05,100000,0.1055,0.0003,0.4929,0.0034,0.3096,0.0141,0.004,0.0702,100,true
0,0.1,10000,0.033,0.0016,0.3261,0.0015,0.556,0.0043,0.0033,0.0742,100,false
0,0.1,50000,0.033,0.0016,0.3261,0.0015,0.556,0.0043,0.0033,0.0742,100,true
0,0.1,100000,0.033,0.0016,0.3261,0.0015,0.556,0.0043,0.0033,0.0742,100,true
0,0.15,10000,0.0056,0.0001,0.7906,0,0.1293,0,0,0.0744,100,false
0,0.15,50000,0.0056,0.0001,0.7906,0,0.1293,0,0,0.0744,100,true
0,0.15,100000,0.0056,0.0001,0.7906,0,0.1293,0,0,0.0744,100,true
0,0.2,10000,0.018,0,0.7429,0,0.1652,0,0,0.0739,100,false
0,0.2,50000,0.018,0,0.7429,0,0.1652,0,0,0.0739,100,true
0,0.2,100000,0.018,0,0.7429,0,0.1652,0,0,0.0739,100,true
0,0.25,10000,0.4801,0.0551,0.1548,0.0203,0.213,0,0,0.0767,100,false
0,0.25,50000,0.232,0.0143,0.3092,0.079,0.2888,0,0,0.0767,100,false
0,0.25,100000,0.2524,0.0286,0.2881,0.061,0.2932,0,0,0.0767,100,false
0,0.3,10000,0.2713,0.0715,0.2197,0.0644,0.2991,0,0,0.074,100,false
0,0.3,50000,0.3761,0.1383,0.2183,0.0258,0.1675,0,0,0.074,100,false
0,0.3,100000,0.0236,0,0.8525,0,0.0499,0,0,0.074,100,true
0,0.35,10000,0.2456,0.0768,0.2193,0.0995,0.2856,0,0,0.0732,100,false
0,0.35,50000,0.3002,0.0681,0.2394,0.1213,0.1978,0,0,0.0732,100,false
0,0.35,100000,0.24,0.0582,0.2296,0.0948,0.3042,0,0,0.0732,100,false
0,0.4,10000,0.2472,0.0628,0.2128,0.1753,0.2283,0,0,0.0736,100,false
0,0.4,50000,0.2496,0.0954,0.232,0.1259,0.2235,0,0,0.0736,100,false
0,0.4,100000,0.2652,0.1525,0.3455,0.0395,0.1237,0,0,0.0736,100,false
0,0.45,10000,0.344,0.0904,0.1394,0.0482,0.3064,0,0,0.0716,100,false
0,0.45,50000,0.3872,0.0543,0.1871,0.0673,0.2325,0,0,0.0716,100,false
0,0.45,100000,0.2185,0.065,0.2507,0.0942,0.3,0,0,0.0716,100,false
0,0.5,10000,0.1991,0.0806,0.2823,0.1333,0.2249,0,0,0.0798,100,false
0,0.5,50000,0.2956,0.1285,0.2995,0.0801,0.1165,0,0,0.0798,100,false
0,0.5,100000,0.2255,0.0921,0.2735,0.1069,0.2222,0,0,0.0798,100,false
0,0.55,10000,0.219,0.1138,0.3108,0.1005,0.1833,0,0,0.0726,100,false
0,0.55,50000,0.2865,0.1676,0.248,0.0979,0.1274,0,0,0.0726,100,false
0,0.55,100000,0.2811,0.0627,0.2098,0.1074,0.2664,0,0,0.0726,100,false
0,0.6,10000,0.3336,0.1739,0.1714,0.055,0.1862,0,0,0.0799,100,false
0,0.6,50000,0.203,0.1078,0.1268,0.0842,0.3983,0,0,0.0799,100,false
0,0.6,100000,0.2736,0.1069,0.1801,0.115,0.2445,0,0,0.0799,100,false
0,0.65,10000,0.2597,0.1468,0.1831,0.1377,0.1934,0,0,0.0793,100,false
0,0.65,50000,0.2231,0.0708,0.2214,0.1388,0.2666,0,0,0.0793,100,false
0,0.65,100000,0.2687,0.1181,0.1495,0.1013,0.2831,0,0,0.0793,100,false
0,0.7,10000,0.3195,0.1577,0.127,0.0847,0.2319,0,0,0.0792,100,false
0,0.7,50000,0.4293,0.0739,0.0962,0.0851,0.2363,0,0,0.0792,100,false
0,0.7,100000,0.1859,0.152,0.2698,0.1568,0.1563,0,0,0.0792,100,false
0,0.75,10000,0.1822,0.1248,0.2597,0.1483,0.2037,0,0,0.0813,100,false
0,0.75,50000,0.256,0.1606,0.1741,0.1098,0.2182,0,0,0.0813,100,false
0,0.75,100000,0.1638,0.1466,0.2471,0.2044,0.1568,0,0,0.0813,100,false
0,0.8,10000,0.1429,0.1449,0.3038,0.1467,0.1836,0,0,0.0781,100,false
0,0.8,50000,0.2063,0.1325,0.1546,0.1779,0.2506,0,0,0.0781,100,false
0,0.8,100000,0.2046,0.1358,0.3127,0.1079,0.1609,0,0,0.0781,100,false
0,0.85,10000,0.2207,0.1423,0.2198,0.1154,0.2249,0,0,0.0769,100,false
0,0.85,50000,0.218,0.1406,0.2306,0.1492,0.1847,0,0,0.0769,100,false
0,0.85,100000,0.1457,0.1912,0.1992,0.2204,0.1666,0,0,0.0769,100,false
0,0.9,10000,0.336,0.166,0.1414,0.097,0.18,0,0,0.0796,100,false
0,0.9,50000,0.1539,0.1757,0.1596,0.1946,0.2366,0,0,0.0796,100,false
0,0.9,100000,0.2155,0.2295,0.1838,0.1623,0.1293,0,0,0.0796,100,false
0,0.95,10000,0.1036,0.1441,0.2238,0.2673,0.1794,0,0,0.0818,100,false
0,0.95,50000,0.1667,0.2288,0.229,0.1764,0.1173,0,0,0.0818,100,false
0,0.95,100000,0.152,0.2061,0.2091,0.2033,0.1477,0,0,0.0818,100,false
0,1,10000,0.2288,0.2552,0.163,0.1308,0.1445,0,0,0.0777,100,false
0,1,50000,0.1239,0.1613,0.2658,0.2092,0.1621,0,0,0.0777,100,false
0,1,100000,0.1701,0.1947,0.1715,0.2064,0.1796,0,0,0.0777,100,false
0.05,0,10000,0.6714,0.0011,0.0005,0.1218,0.0579,0.0515,0.0501,0.0457,100,false
0.05,0,50000,0.6714,0.0011,0.0005,0.1218,0.0579,0.0515,0.0501,0.0457,100,true
0.05,0,100000,0.6714,0.0011,0.0005,0.1218,0.0579,0.0515,0.0501,0.0457,100,true
0.05,0.05,10000,0.2569,0,0.3754,0,0.3142,0,0,0.0535,100,false
0.05,0.05,50000,0.3309,0,0.275,0,0.3406,0,0,0.0535,100,false
0.05,0.05,100000,0.3194,0,0.348,0,0.2791,0,0,0.0535,100,false
0.05,0.1,10000,0.1813,0,0.5312,0,0.2299,0,0,0.0576,100,false
0.05,0.1,50000,0.192,0,0.5084,0,0.242,0,0,0.0576,100,false
0.05,0.1,100000,0.1885,0,0.4833,0,0.2706,0,0,0.0576,100,false
0.05,0.15,10000,0.1366,0,0.5995,0,0.2058,0,0,0.0581,100,false
0.05,0.15,50000,0.2736,0,0.4165,0,0.2518,0,0,0.0581,100,false
0.05,0.15,100000,0.1319,0,0.6459,0,0.1641,0,0,0.0581,100,false
0.05,0.2,10000,0.1766,0,0.589,0,0.1722,0,0,0.0622,100,false
0.05,0.2,50000,0.1157,0,0.6553,0,0.1668,0,0,0.0622,100,false
0.05,0.2,100000,0.1265,0,0.5455,0,0.2658,0,0,0.0622,100,false
0.05,0.25,10000,0.9367,0,0,0,0.0001,0,0,0.0632,100,false
0.05,0.25,50000,0.9367,0,0,0,0.0001,0,0,0.0632,100,true
0.05,0.25,100000,0.9367,0,0,0,0.0001,0,0,0.0632,100,true
0.05,0.3,10000,0.937,0,0.0002,0.0001,0,0,0,0.0627,100,false
0.05,0.3,50000,0.937,0,0.0002,0.0001,0,0,0,0.0627,100,true
0.05,0.3,100000,0.937,0,0.0002,0.0001,0,0,0,0.0627,100,true
0.05,0.35,10000,0.3375,0.0274,0.3162,0.138,0.1157,0,0,0.0652,100,false
0.05,0.35,50000,0.9347,0,0.0001,0,0,0,0,0.0652,100,true
0.05,0.35,100000,0.9347,0,0.0001,0,0,0,0,0.0652,100,true
0.05,0.4,10000,0.256,0.0474,0.2901,0.1104,0.2284,0,0,0.0677,100,false
0.05,0.4,50000,0.3703,0.0898,0.1658,0.0565,0.2499,0,0,0.0677,100,false
0.05,0.4,100000,0.546,0.0285,0.1843,0.0564,0.1171,0,0,0.0677,100,false
0.05,0.45,10000,0.4407,0.0426,0.1376,0.0785,0.2369,0,0,0.0637,100,false
0.05,0.45,50000,0.9363,0,0,0,0,0,0,0.0637,100,true
0.05,0.45,100000,0.9363,0,0,0,0,0,0,0.0637,100,true
0.05,0.5,10000,0.1989,0.1306,0.2018,0.0993,0.3038,0,0,0.0656,100,false
0.05,0.5,50000,0.2012,0.092,0.3084,0.1131,0.2197,0,0,0.0656,100,false
0.05,0.5,100000,0.2591,0.0842,0.2338,0.1387,0.2186,0,0,0.0656,100,false
0.05,0.55,10000,0.281,0.2684,0.0788,0.082,0.1165,0.0677,0.0337,0.0719,100,false
0.05,0.55,50000,0.2618,0.0762,0.2403,0.1236,0.2339,0,0,0.0642,100,false
0.05,0.55,100000,0.261,0.2075,0.2315,0.0764,0.1594,0,0,0.0642,100,false
0.05,0.6,10000,0.2816,0.117,0.2684,0.0946,0.1689,0,0,0.0695,100,false
0.05,0.6,50000,0.2316,0.071,0.3853,0.0675,0.1751,0,0,0.0695,100,false
0.05,0.6,100000,0.2033,0.1289,0.224,0.0971,0.2772,0,0,0.0695,100,false
0.05,0.65,10000,0.2792,0.1613,0.2786,0.0958,0.1187,0,0,0.0664,100,false
0.05,0.65,50000,0.2316,0.1007,0.2052,0.1312,0.2649,0,0,0.0664,100,false
0.05,0.65,100000,0.2751,0.2144,0.2142,0.0694,0.1605,0,0,0.0664,100,false
0.05,0.7,10000,0.365,0.113,0.173,0.1075,0.1741,0,0,0.0674,100,false
0.05,0.7,50000,0.2484,0.1362,0.2567,0.1098,0.1815,0,0,0.0674,100,false
0.05,0.7,100000,0.2466,0.1411,0.2143,0.0951,0.2355,0,0,0.0674,100,false
0.05,0.75,10000,0.2822,0.1453,0.1802,0.086,0.2383,0,0,0.068,100,false
0.05,0.75,50000,0.2787,0.125,0.2225,0.1188,0.187,0,0,0.068,100,false
0.05,0.75,100000,0.1843,0.1833,0.2428,0.1526,0.169,0,0,0.068,100,false
0.05,0.8,10000,0.2434,0.1197,0.1254,0.2042,0.2366,0,0,0.0707,100,false
0.05,0.8,50000,0.2077,0.0985,0.3137,0.1336,0.1758,0,0,0.0707,100,false
0.05,0.8,100000,0.1949,0.1635,0.2028,0.1443,0.2238,0,0,0.0707,100,false
0.05,0.85,10000,0.1311,0.1935,0.3297,0.1571,0.1187,0,0,0.0699,100,false
0.05,0.85,50000,0.208,0.1064,0.1862,0.1852,0.2443,0,0,0.0699,100,false
0.05,0.85,100000,0.1861,0.0793,0.2033,0.2109,0.2505,0,0,0.0699,100,false
0.05,0.9,10000,0.2222,0.2067,0.2095,0.1473,0.1418,0,0,0.0725,100,false
