implementation,run,time_seconds
cuRAND,1,0.603423142
cuRAND,2,0.556909356
cuRAND,3,0.560643423
cuRAND,4,0.559323591
cuRAND,5,0.560882658
cuRAND,6,0.549538391
cuRAND,7,0.558730090
cuRAND,8,0.569363214
cuRAND,9,0.570940925
cuRAND,10,0.567157260
cuda-mersenne,1,0.895068997
cuda-mersenne,2,0.894419712
cuda-mersenne,3,0.897885912
cuda-mersenne,4,0.891351442
cuda-mersenne,5,0.891213787
cuda-mersenne,6,0.892379056
cuda-mersenne,7,0.881708805
cuda-mersenne,8,0.882293609
cuda-mersenne,9,0.898655690
cuda-mersenne,10,0.901214960
