alpha,beta,gamma,mcs,s0,s1,s2,s3,s4,s5,s6,s7,length,stable
0,0.75,1,10000,0.00194844,0.398681,0.00587188,0.211255,0.0658266,0.0797828,0.0225969,0.214037,800,true
0,0.75,1,50000,0.00194844,0.398681,0.00587188,0.211255,0.0658266,0.0797828,0.0225969,0.214037,800,true
0,0.75,1,100000,0.00194844,0.398681,0.00587188,0.211255,0.0658266,0.0797828,0.0225969,0.214037,800,true
0,0.75,1,250000,0.00194844,0.398681,0.00587188,0.211255,0.0658266,0.0797828,0.0225969,0.214037,800,true
0,0.75,1,500000,0.00194844,0.398681,0.00587188,0.211255,0.0658266,0.0797828,0.0225969,0.214037,800,true
0.05,0.75,1,1000,0.0943703,0.209125,0.0992719,0.141109,0.11237,0.0854328,0.0838469,0.174473,800,false
0,0.75,1,10000,0.0023625,0.391339,0.00602656,0.227205,0.0589141,0.0829297,0.0216094,0.209614,800,true
0,0.75,1,50000,0.0023625,0.391339,0.00602656,0.227205,0.0589141,0.0829297,0.0216094,0.209614,800,true
0,0.75,1,100000,0.0023625,0.391339,0.00602656,0.227205,0.0589141,0.0829297,0.0216094,0.209614,800,true
0,0.75,1,250000,0.0023625,0.391339,0.00602656,0.227205,0.0589141,0.0829297,0.0216094,0.209614,800,true
0,0.75,1,500000,0.0023625,0.391339,0.00602656,0.227205,0.0589141,0.0829297,0.0216094,0.209614,800,true
0.05,0.75,1,10000,0.153877,0.167378,0.159753,0.109022,0.162411,0.0037625,0.123809,0.119987,800,false
0.05,0.75,1,1000,0.0858094,0.186278,0.103914,0.144372,0.112067,0.102939,0.0941109,0.170509,800,false
0.05,0.75,1,10000,0.14488,0.183656,0.146661,0.0982484,0.162122,0.011,0.120308,0.133125,800,false
0,0.75,1,10000,0.00218594,0.395742,0.00608906,0.222578,0.0622125,0.0809344,0.0205109,0.209747,800,true
0,0.75,1,50000,0.00218594,0.395742,0.00608906,0.222578,0.0622125,0.0809344,0.0205109,0.209747,800,true
0,0.75,1,100000,0.00218594,0.395742,0.00608906,0.222578,0.0622125,0.0809344,0.0205109,0.209747,800,true
0,0.75,1,250000,0.00218594,0.395742,0.00608906,0.222578,0.0622125,0.0809344,0.0205109,0.209747,800,true
0,0.75,1,500000,0.00218594,0.395742,0.00608906,0.222578,0.0622125,0.0809344,0.0205109,0.209747,800,true
0.05,0.75,1,1000,0.0908297,0.195528,0.0991516,0.139788,0.118034,0.100433,0.0856844,0.170552,800,false
0.05,0.75,1,10000,0.149694,0.194494,0.153873,0.0918531,0.154264,0.0108969,0.116323,0.128602,800,false
0.05,0.75,1,50000,0.148756,0.186139,0.15337,0.0961203,0.171113,0,0.133895,0.110606,800,false
0.05,0.75,1,50000,0.152602,0.183077,0.143991,0.0843469,0.18422,0,0.135631,0.116133,800,false
0.05,0.75,1,50000,0.1598,0.183541,0.159491,0.0900922,0.160683,0,0.134692,0.111702,800,false
0.05,0.75,1,100000,0.153059,0.173013,0.159345,0.0874578,0.179402,0,0.131808,0.115916,800,false
0.05,0.75,1,100000,0.146052,0.183541,0.160084,0.0892031,0.169831,0,0.13273,0.118559,800,false
0.05,0.75,1,100000,0.15618,0.184467,0.160492,0.0915516,0.175519,0,0.126747,0.105044,800,false
0.05,0.75,1,250000,0.156659,0.188663,0.160327,0.0915891,0.173248,0,0.126506,0.103008,800,false
0.05,0.75,1,250000,0.153923,0.184727,0.145611,0.0948438,0.175384,0,0.140098,0.105413,800,false
0.05,0.75,1,250000,0.159322,0.177261,0.158744,0.0925563,0.174158,0,0.126312,0.111647,800,false
0.05,0.75,1,500000,0.155172,0.177464,0.144762,0.0846609,0.173248,0,0.142059,0.122633,800,false
0.1,0.75,1,1000,0.119761,0.17887,0.126394,0.115456,0.153606,0.0423922,0.115078,0.148442,800,false
0.1,0.75,1,10000,0.152248,0.190166,0.148473,0.0812953,0.176258,0,0.135917,0.115642,800,false
0.05,0.75,1,500000,0.150978,0.178659,0.165928,0.0823469,0.177252,0,0.134417,0.110419,800,false
0.1,0.75,1,1000,0.114861,0.183106,0.135247,0.116141,0.147583,0.0427922,0.115534,0.144736,800,false
0.1,0.75,1,10000,0.155517,0.177319,0.144914,0.0805156,0.191723,0,0.133678,0.116333,800,false
0.1,0.75,1,50000,0.143223,0.183445,0.155205,0.0788937,0.178428,0,0.140878,0.119927,800,false
0.1,0.75,1,50000,0.156269,0.173728,0.14945,0.0873641,0.174867,0,0.14152,0.116802,800,false
0.1,0.75,1,100000,0.15232,0.178364,0.143264,0.0839234,0.193098,0,0.137289,0.111741,800,false
