alpha,beta,gamma,mcs,s0,s1,s2,s3,s4,s5,s6,s7,length,stable
0,0.75,1,1000,0.00225469,0.392648,0.00562969,0.220278,0.0589031,0.0881797,0.021675,0.210431,800,950
0,0.75,1,2000,0.00225469,0.392648,0.00562969,0.220278,0.0589031,0.0881797,0.021675,0.210431,800,950
0,0.75,1,3000,0.00225469,0.392648,0.00562969,0.220278,0.0589031,0.0881797,0.021675,0.210431,800,950
0,0.75,1,5000,0.00225469,0.392648,0.00562969,0.220278,0.0589031,0.0881797,0.021675,0.210431,800,950
0,0.75,1,7000,0.00225469,0.392648,0.00562969,0.220278,0.0589031,0.0881797,0.021675,0.210431,800,950
0,0.75,1,10000,0.00225469,0.392648,0.00562969,0.220278,0.0589031,0.0881797,0.021675,0.210431,800,950
0,0.75,1,25000,0.00225469,0.392648,0.00562969,0.220278,0.0589031,0.0881797,0.021675,0.210431,800,950
0,0.75,1,50000,0.00225469,0.392648,0.00562969,0.220278,0.0589031,0.0881797,0.021675,0.210431,800,950
0.05,0.75,1,1000,0.0904078,0.195306,0.0900062,0.15648,0.106383,0.107614,0.0877688,0.166034,800,0
0.05,0.75,1,2000,0.126044,0.188992,0.1308,0.117117,0.13127,0.0480328,0.114766,0.142978,800,0
0.05,0.75,1,3000,0.123102,0.188925,0.134083,0.110517,0.150453,0.0418234,0.118608,0.132489,800,0
0.05,0.75,1,5000,0.140695,0.181467,0.144553,0.103759,0.16545,0.0164234,0.124147,0.123505,800,0
0.05,0.75,1,7000,0.156694,0.181406,0.146908,0.0954172,0.169112,0.0109109,0.117475,0.122077,800,0
0.05,0.75,1,10000,0.148595,0.185225,0.154631,0.0943453,0.170259,0.0058,0.126692,0.114452,800,0
0.05,0.75,1,25000,0.160069,0.170687,0.15378,0.0953281,0.180252,0,0.123644,0.116241,800,0
0.05,0.75,1,50000,0.158195,0.168217,0.147408,0.0865234,0.187883,0,0.133283,0.118491,800,0
0,0.75,1,1000,0.00224375,0.388213,0.00592813,0.232881,0.0580828,0.0877328,0.021,0.203919,800,950
0,0.75,1,2000,0.00224375,0.388213,0.00592813,0.232881,0.0580828,0.0877328,0.021,0.203919,800,950
