mcs,s1,s2,s3,s4,s5
0,20.11,20.09,19.88,19.895,20.025
1,14.7075,14.79,14.57,14.64,14.8475
2,14.41,14.545,14.1325,14.2675,14.7875
3,14.6075,14.5925,14.22,14.3,14.8325
4,14.905,14.9925,14.5675,14.5925,14.9925
5,15.08,15.1825,14.7975,15.0525,15.2675
6,15.305,15.3175,15.0575,15.385,15.4775
7,15.25,15.715,15.4525,15.59,15.395
8,15.4275,15.74,15.4,15.7375,15.6775
9,15.59,15.9525,15.5475,15.8175,15.7925
10,15.6675,16.1925,15.645,15.8025,15.8125
11,15.8325,16.4025,15.91,15.9325,15.8
12,16.0075,16.465,15.7675,16.175,15.82
13,16.2475,16.695,16.08,16.27,15.7125
14,16.465,16.7375,16.24,16.165,15.78
15,16.405,16.7125,16.405,16.3175,16.005
16,16.61,16.7525,16.36,16.28,16.1425
17,16.72,16.7425,16.4925,16.2125,16.0975
18,16.745,17.0375,16.7575,16.2625,16.3325
19,16.6775,17.0675,16.8175,16.15,16.4025
20,16.6225,17.045,16.94,16.1775,16.385
21,16.425,17.165,17.085,16.255,16.6175
22,16.32,17.2775,16.965,16.29,16.475
23,16.345,17.29,16.8375,16.33,16.5225
24,16.505,17.3825,17.0025,16.38,16.645
25,16.7325,17.4525,17.0975,16.4525,16.6625
26,16.845,17.385,17.335,16.4975,16.85
27,16.82,17.2825,17.2875,16.625,16.755
28,16.8175,17.1125,17.26,16.5575,17.0175
29,16.765,17.1475,17.31,16.655,17.345
30,16.785,17.06,17.3725,16.7575,17.365
31,16.7525,17.04,17.5475,16.95,17.4525
32,16.635,17.03,17.645,17.1975,17.4575
33,16.6075,17.1825,17.6175,17.2375,17.4875
34,16.655,17.0175,17.5275,17.26,17.47
35,16.685,17.0625,17.565,17.2175,17.425
36,16.695,17.1075,17.605,17.2325,17.4925
37,16.7575,17.115,17.565,17.3475,17.4375
38,16.7675,17.1,17.5075,17.41,17.395
39,16.8725,17.055,17.5975,17.575,17.49
40,16.9025,17.255,17.6175,17.6225,17.585
41,17.0275,17.2175,17.6725,17.695,17.4525
42,17.0075,17.225,17.57,17.84,17.2975
43,17.115,17.36,17.585,17.965,17.3375
44,17.055,17.175,17.5425,18.0125,17.2575
45,17.1025,17.1125,17.715,18.14,17.2025
46,17.0725,17.0575,17.65,18.325,17.1275
47,17.29,17.08,17.69,18.315,16.9425
48,17.28,16.9825,17.9575,18.4975,16.9675
49,17.4725,16.8975,17.87,18.4575,16.865
50,17.5575,16.835,18.045,18.4675,16.8125
51,17.515,16.6725,18.0625,18.62,16.735
52,17.53,16.64,18.175,18.71,16.72
53,17.535,16.63,18.2725,18.8125,16.615
54,17.475,16.575,18.4275,18.905,16.6325
55,17.4575,16.4725,18.535,18.96,16.52
56,17.525,16.64,18.68,18.9775,16.53
57,17.59,16.505,18.725,18.92,16.515
58,17.6375,16.4925,18.76,18.915,16.4175
59,17.5625,16.5175,18.835,19.02,16.4675
60,17.6025,16.4725,18.8725,18.915,16.5975
61,17.675,16.3675,18.91,18.7375,16.595
62,17.795,16.39,19.0975,18.73,16.58
63,17.935,16.585,18.94,18.6625,16.4925
64,17.9975,16.635,18.9825,18.6475,16.465
65,17.9875,16.7275,19.0525,18.6375,16.42
66,18.0725,16.71,19.015,18.635,16.4425
67,18.0875,16.6825,19.08,18.585,16.445
68,18.085,16.79,19.1175,18.515,16.445
69,18.0025,16.72,19.1875,18.355,16.3675
70,18.0775,16.635,19.2825,18.4675,16.49
71,18.0125,16.5925,19.27,18.4175,16.42
72,17.9525,16.7375,19.345,18.335,16.5525
73,18.115,16.865,19.405,18.305,16.49
74,18.065,17.015,19.3875,18.1775,16.3725
75,18.1275,17.21,19.4325,18.1675,16.555
76,18.0875,17.14,19.475,18.0825,16.56
77,18.0625,17.295,19.4425,18.0275,16.515
78,17.9875,17.395,19.7025,17.9775,16.44
79,18.085,17.4325,19.63,17.84,16.35
80,18.1425,17.49,19.66,17.835,16.5375
81,18.25,17.535,19.685,17.7725,16.4325
82,18.035,17.4,19.6725,17.61,16.5475
83,18.085,17.5225,19.8625,17.575,16.7075
84,18.16,17.5475,19.8825,17.525,16.7375
85,18.065,17.495,19.905,17.5375,16.785
86,18.015,17.5825,20.11,17.4525,16.6625
87,17.845,17.7075,20.08,17.4,16.7625
88,17.725,17.7675,20.1,17.35,16.59
89,17.7275,17.87,20.23,17.345,16.5125
90,17.5475,17.975,20.345,17.2275,16.5325
91,17.515,17.94,20.3475,17.2125,16.6125
92,17.3175,17.945,20.36,17.1075,16.64
93,17.285,18.1125,20.47,17.0375,16.755
94,17.2575,18.2025,20.6175,17.0375,16.8375
95,17.2525,18.2175,20.6175,16.9275,16.9075
96,17.1925,18.1975,20.5525,16.9025,16.8225
97,17.0875,18.09,20.45,16.97,16.9025
98,17.1825,18.1675,20.605,16.9725,16.855
99,17.24,18.1875,20.7425,16.955,16.905
100,17.035,18.1475,20.7225,17.075,17.1975
101,16.965,18.305,20.645,16.99,17.2625
102,16.885,18.315,20.725,16.925,17.1475
103,16.7175,18.4,20.6425,16.8975,17.2825
104,16.7175,18.4625,20.735,16.7725,17.3125
105,16.65,18.505,20.7125,16.685,17.5125
106,16.6575,18.665,20.8075,16.71,17.565
107,16.56,18.7675,20.565,16.5175,17.685
108,16.4225,19,20.5225,16.52,17.7
109,16.3325,19.07,20.5175,16.5625,17.745
110,16.32,19.145,20.5175,16.54,17.88
111,16.3,19.1975,20.45,16.425,17.8825
112,16.2775,19.295,20.3725,16.39,17.9075
113,16.2,19.4275,20.465,16.3975,18.0325
114,16.005,19.5225,20.365,16.46,17.9325
115,15.9725,19.595,20.2525,16.38,18.0825
116,15.8925,19.53,20.1975,16.5175,18.07
117,15.88,19.735,20.2275,16.45,18.215
118,15.9525,19.8525,20.115,16.42,18.0975
119,15.8925,19.98,20.07,16.295,18.1625
120,15.9325,20.045,19.99,16.31,18.21
121,15.915,20.1475,19.88,16.3625,18.255
122,15.9225,20.175,19.795,16.385,18.19
123,15.8225,20.2725,19.735,16.4425,18.28
124,15.7275,20.2625,19.615,16.37,18.395
125,15.7975,20.465,19.5025,16.2325,18.525
126,15.8575,20.43,19.2975,16.12,18.5975
127,15.865,20.4725,19.2575,16.175,18.6575
128,15.8525,20.4825,19.105,16.1725,18.75
129,15.85,20.7025,19.105,16.08,18.7325
130,15.97,20.73,18.9675,16.0275,18.73
131,15.9425,20.6825,18.9575,16.1525,18.705
132,16.0575,20.845,18.82,16.0325,18.6825
133,16.16,20.9075,18.7275,16.1075,18.605
134,16.2225,20.855,18.655,16.21,18.765
135,16.2725,20.8575,18.5175,16.2675,18.8575
136,16.315,20.7375,18.3475,16.2925,18.8125
137,16.3875,20.775,18.2325,16.2925,18.8925
138,16.445,20.6825,18.16,16.265,18.8675
139,16.5775,20.77,18.055,16.3775,18.8575
140,16.6025,20.8025,18,16.35,18.8325
141,16.76,20.82,17.91,16.415,18.85
142,16.7625,20.7325,17.855,16.415,18.7375
143,16.8675,20.8525,17.835,16.49,18.805
144,16.865,20.91,17.7725,16.6,18.7825
145,16.7925,21.04,17.745,16.65,18.8
146,16.9425,21.1325,17.685,16.6625,18.7725
147,16.9675,21.185,17.7,16.62,18.665
148,16.9475,21.1475,17.4425,16.6275,18.635
149,17.14,21.335,17.4175,16.5725,18.5225
150,17.2375,21.255,17.425,16.465,18.4575
151,17.17,21.3,17.3825,16.4575,18.3425
152,17.21,21.3575,17.405,16.5475,18.2925
153,17.2525,21.4575,17.3725,16.5675,18.245
154,17.305,21.49,17.315,16.58,18.215
155,17.43,21.53,17.3125,16.5425,18.18
156,17.4975,21.6325,17.2875,16.5475,18.205
157,17.505,21.57,17.2375,16.6825,17.9775
158,17.7275,21.46,17.2075,16.77,18.0575
159,17.8825,21.41,17.1675,16.855,17.9575
160,17.865,21.46,16.965,16.875,17.8075
161,18.06,21.4725,16.9075,16.8325,17.7925
162,18.2275,21.3575,16.8425,16.8425,17.7625
163,18.2625,21.49,16.7975,16.86,17.665
164,18.3525,21.4675,16.7175,17.035,17.5975
165,18.4575,21.385,16.6125,17.1275,17.4625
166,18.44,21.3675,16.46,17.2975,17.315
167,18.58,21.3275,16.435,17.3425,17.2875
168,18.59,21.3775,16.385,17.4175,17.3075
169,18.715,21.335,16.365,17.4775,17.28
170,18.7675,21.32,16.36,17.47,17.0475
171,18.9375,21.3975,16.225,17.4875,16.99
172,19.08,21.3375,16.2,17.4675,17.0525
173,19.235,21.2725,16.165,17.4475,16.9975
