mcs,s1,s2,s3
0,30.0009,30.0613,29.9839
1,28.3761,28.4531,28.4161
2,27.4003,27.4387,27.4075
3,26.785,26.7686,26.7527
4,26.3861,26.3739,26.3125
5,26.1006,26.1152,25.9939
6,25.9567,25.9275,25.8142
7,25.8455,25.822,25.6559
8,25.8698,25.7392,25.5623
9,25.8728,25.7103,25.5427
10,25.8108,25.6898,25.5616
11,25.8644,25.6431,25.5723
12,25.9413,25.6588,25.5773
13,25.988,25.6931,25.6055
14,25.9852,25.6863,25.6566
15,26.0078,25.6997,25.7202
16,26.023,25.7077,25.7573
17,26.048,25.7883,25.7537
18,26.0222,25.815,25.8203
19,26.0183,25.9003,25.8814
20,26.0703,25.9483,25.9028
21,26.0789,26.0245,25.9308
22,26.1006,26.0255,25.9559
23,26.0919,26.0073,26.0292
24,26.123,26.0014,26.0998
25,26.1311,26.0014,26.0953
26,26.125,26.0316,26.1752
27,26.1983,26.0188,26.2744
28,26.2138,26.0567,26.2994
29,26.2455,26.1259,26.3141
30,26.287,26.1528,26.3044
31,26.2986,26.2062,26.3419
32,26.3263,26.2128,26.3859
33,26.3536,26.242,26.4192
34,26.405,26.2625,26.4466
35,26.4163,26.2819,26.5225
36,26.4661,26.3328,26.5259
37,26.4789,26.3738,26.5647
38,26.5219,26.4292,26.588
39,26.5556,26.4414,26.623
40,26.6078,26.4745,26.6286
41,26.5738,26.4945,26.6575
42,26.6298,26.5181,26.7128
43,26.6797,26.5541,26.7614
44,26.6887,26.5803,26.8222
45,26.698,26.635,26.8095
46,26.7222,26.6492,26.853
47,26.7422,26.6738,26.9028
48,26.7409,26.6998,26.9688
49,26.7625,26.7334,26.9778
50,26.7727,26.7881,27.0119
51,26.8037,26.8652,27.052
52,26.865,26.9175,27.1083
53,26.833,26.9608,27.1392
54,26.8691,27.0075,27.1589
55,26.9239,27.0227,27.2058
56,26.972,27.0511,27.2227
57,26.9652,27.1198,27.2531
58,26.988,27.1789,27.2875
59,26.98,27.2533,27.283
60,27.0183,27.3133,27.3238
61,27.0695,27.3817,27.3602
62,27.0612,27.4655,27.3703
63,27.0569,27.4845,27.4081
64,27.0825,27.5344,27.4227
65,27.1391,27.5981,27.4322
66,27.1659,27.6608,27.4734
67,27.1834,27.7202,27.4892
68,27.2202,27.7902,27.4277
69,27.268,27.8373,27.4402
70,27.2811,27.8498,27.4498
71,27.3095,27.9053,27.4691
72,27.3653,27.9892,27.4927
73,27.3502,28.1084,27.5184
74,27.4177,28.1734,27.5345
75,27.428,28.207,27.5641
76,27.483,28.2595,27.5886
77,27.5206,28.3038,27.6164
78,27.5511,28.3684,27.6425
79,27.59,28.4102,27.6556
80,27.6466,28.4266,27.6961
81,27.6616,28.4534,27.705
82,27.7045,28.4914,27.7208
83,27.7506,28.5012,27.7288
84,27.7767,28.4789,27.7266
85,27.8014,28.4816,27.7448
86,27.8272,28.4945,27.8253
87,27.887,28.5073,27.8608
88,27.9633,28.5077,27.8964
89,28.0181,28.5097,27.9264
90,28.0622,28.5064,27.9558
91,28.1278,28.4964,27.9833
92,28.14,28.4927,28.0367
93,28.2009,28.5266,28.0375
94,28.2497,28.5511,28.04
95,28.3184,28.5433,28.0461
96,28.3427,28.5663,28.0359
97,28.3989,28.6038,28.0195
98,28.4066,28.5911,28.0391
99,28.4733,28.6125,28.0794
100,28.5306,28.6327,28.087
101,28.6038,28.613,28.0925
102,28.65,28.6203,28.11
103,28.7186,28.6202,28.1444
104,28.7978,28.5888,28.2127
105,28.8762,28.5797,28.2111
106,28.9461,28.5648,28.2286
107,29.0198,28.5583,28.2391
108,29.0863,28.5255,28.2875
109,29.1817,28.5131,28.3022
110,29.245,28.5275,28.3483
111,29.312,28.5247,28.3758
112,29.365,28.5875,28.3973
113,29.4428,28.5436,28.4094
114,29.4672,28.5028,28.4106
115,29.4908,28.5333,28.4256
116,29.5423,28.5234,28.4411
117,29.5772,28.518,28.4725
118,29.6644,28.4972,28.5209
119,29.6841,28.5247,28.5386
120,29.7441,28.5033,28.5538
121,29.8136,28.5067,28.5519
122,29.8827,28.5025,28.5889
123,29.8919,28.5289,28.6405
124,29.8981,28.5428,28.6517
125,29.8944,28.5703,28.6806
126,29.8969,28.5888,28.6766
127,29.928,28.5717,28.6973
128,29.9308,28.6097,28.6831
129,29.9639,28.6523,28.7078
130,29.9675,28.6684,28.717
131,29.9608,28.6902,28.7355
132,29.9981,28.7323,28.7705
133,30.0069,28.7294,28.8206
134,30.0008,28.7267,28.8562
135,29.9922,28.7245,28.8922
136,30.0022,28.7662,28.9025
137,29.9509,28.7831,28.932
138,29.9398,28.7828,28.9655
139,29.9036,28.7931,29.0392
140,29.8964,28.8073,29.0736
141,29.8709,28.8034,29.1247
142,29.8337,28.8359,29.1691
143,29.8347,28.845,29.1955
144,29.8191,28.8431,29.2325
145,29.8008,28.8892,29.2706
146,29.7552,28.8889,29.3041
147,29.7078,28.9391,29.3431
148,29.675,28.9578,29.3872
149,29.6809,28.9752,29.4475
150,29.6745,29.0045,29.5158
151,29.6109,29.0055,29.5745
152,29.5769,29.0338,29.6166
153,29.5641,29.0423,29.6344
154,29.562,29.0672,29.6938
155,29.5438,29.068,29.732
156,29.5148,29.0675,29.7595
157,29.5141,29.0891,29.8116
158,29.5209,29.0734,29.813
159,29.5042,29.1141,29.8748
160,29.4861,29.1413,29.8933
161,29.4716,29.1472,29.9311
162,29.4533,29.1903,29.9755
163,29.4234,29.2245,29.9695
164,29.4108,29.2634,30.0291
165,29.3859,29.2775,30.0584
166,29.3266,29.2977,30.0869
167,29.3275,29.3302,30.1275
168,29.3331,29.338,30.1534
169,29.2966,29.313,30.2006
170,29.3027,29.3258,30.2255
171,29.2677,29.3434,30.2845
172,29.252,29.3477,30.318
173,29.2036,29.3762,30.3258
174,29.1706,29.4291,30.3634
175,29.1434,29.4494,30.3667
176,29.1111,29.4373,30.3938
177,29.1072,29.4694,30.4298
178,29.0981,29.5208,30.4395
179,29.0702,29.5189,30.4752
180,29.0386,29.5144,30.5136
181,29.0245,29.5598,30.5222
182,29.0012,29.5778,30.5339
183,28.9781,29.622,30.5142
184,28.9505,29.6577,30.5473
185,28.9206,29.665,30.5575
186,28.9227,29.6833,30.5861
187,28.8873,29.7097,30.5795
188,28.8855,29.7309,30.5617
189,28.8514,29.7298,30.5925
190,28.8544,29.7792,30.5953
191,28.8338,29.8161,30.6258
192,28.8075,29.8441,30.6458
193,28.7814,29.8689,30.68
194,28.7559,29.8877,30.7181
195,28.7241,29.8848,30.7214
196,28.7172,29.907,30.7792
197,28.687,29.9333,30.7745
198,28.6692,29.9519,30.767
199,28.6669,29.9653,30.7573
200,28.6247,29.9972,30.7491
201,28.612,30.0031,30.7263
202,28.6137,30.0241,30.7467
203,28.5925,30.022,30.7752
204,28.5881,30.0225,30.7975
205,28.5637,30.0587,30.7956
206,28.5706,30.0817,30.7867
207,28.5645,30.0809,30.8078
208,28.562,30.1039,30.825
209,28.5611,30.1067,30.8136
210,28.5681,30.1319,30.7917
211,28.553,30.1364,30.7878
212,28.5536,30.1539,30.7784
213,28.5633,30.16,30.7741
