mcs,s1,s2,s3,s4,s5
0,19.8725,20.475,19.8175,19.755,20.08
1,14.5675,15.0175,14.515,17.1075,14.62
2,13.665,14.26,14.0925,18.1975,13.8625
3,13.3125,14.1425,14.0275,19.59,13.5075
4,13.1425,14.0325,14.215,21.4375,13.425
5,12.99,14.07,14.475,23.01,13.18
6,12.765,14.035,14.6175,24.4725,12.625
7,12.765,13.8875,15.035,25.87,12.3
8,12.715,13.755,15.54,27.095,11.4875
9,12.4625,13.3225,15.9175,28.3325,11.125
10,12.445,12.85,16.3625,29.46,10.7325
11,12.2375,12.475,16.7575,30.72,10.2325
12,12.21,12.1775,17.36,31.58,9.8025
13,12.19,12.025,17.86,32.4375,9.435
14,11.8825,11.615,18.3925,33.405,9.1025
15,11.785,11.3,18.9125,33.955,8.855
16,11.6075,11.0725,19.545,34.6775,8.4275
17,11.5075,10.8325,20.1025,35.1625,8.0275
18,11.2775,10.49,20.7775,35.685,7.6175
19,11.0875,10.165,21.435,36.1425,7.27
20,10.9075,9.9175,22.1275,36.6925,7.01
21,10.6975,9.8,22.9025,37.0025,6.7
22,10.4975,9.6825,23.5075,37.195,6.3875
23,10.205,9.4525,24.3225,37.3525,6.19
24,10.0475,9.3525,25.0475,37.3325,5.9125
25,9.8975,9.1125,25.8175,37.315,5.765
26,9.6475,8.9525,26.695,37.095,5.575
27,9.4625,8.86,27.61,36.845,5.38
28,9.12,8.75,28.495,36.655,5.34
29,8.9275,8.5475,29.56,36.37,5.2275
30,8.6325,8.365,30.415,35.96,5.115
31,8.2825,8.4,31.4425,35.5675,4.99
32,8.1075,8.3525,32.4225,35.03,4.875
33,7.8275,8.32,33.46,34.3025,4.8025
34,7.6175,8.3875,34.4725,33.8825,4.785
35,7.34,8.325,35.35,33.3375,4.88
36,7.1375,8.365,36.3825,32.785,4.835
37,6.9075,8.3875,37.42,32,4.845
38,6.7075,8.44,38.39,31.435,4.85
39,6.3975,8.54,39.1275,30.7025,4.8425
40,6.1925,8.6225,40.1125,29.9925,4.95
41,6,8.7525,41.125,29.0275,4.89
42,5.7475,8.905,41.9925,28.3925,4.9675
43,5.545,9.085,42.92,27.56,4.9925
44,5.2175,9.13,43.7325,26.93,4.935
45,4.9825,9.22,44.705,26.1275,5.0225
46,4.7425,9.325,45.465,25.585,4.985
47,4.425,9.46,46.3875,24.875,4.9975
48,4.16,9.7375,47.3125,24.165,5.04
49,4.0625,9.9475,48.0525,23.4375,5.04
50,3.86,10.16,48.7825,22.77,5.0675
51,3.6875,10.4775,49.3325,22.125,5.1125
52,3.58,10.6675,49.8375,21.295,5.1575
53,3.48,10.955,50.43,20.54,5.235
54,3.2925,11.3825,50.9475,19.9475,5.3025
55,3.105,11.7975,51.3775,19.4,5.3875
56,2.9675,12.08,51.705,18.7275,5.495
57,2.85,12.475,52.085,18.3125,5.525
58,2.745,12.79,52.15,17.7775,5.5675
59,2.6525,13.235,52.43,17.255,5.7025
60,2.5075,13.5075,52.6225,16.74,5.82
61,2.3825,13.9225,52.8625,16.2275,5.8875
62,2.3025,14.3625,53.01,15.78,5.95
63,2.215,14.8475,53.1575,15.3925,6.055
64,2.1275,15.3125,53.1825,14.89,6.1175
65,2.0575,15.8575,53.2425,14.4475,6.1975
66,1.9475,16.47,53.08,13.99,6.3025
67,1.865,16.85,53.055,13.6725,6.4625
68,1.775,17.245,52.73,13.4025,6.49
69,1.74,17.815,52.5975,13.0075,6.6325
70,1.6725,18.375,52.4175,12.685,6.6925
71,1.6375,18.8425,52.1425,12.42,6.8675
72,1.6225,19.445,51.95,12.2175,6.9875
73,1.57,19.98,51.4825,12.0325,7.13
74,1.545,20.4975,51.075,11.765,7.23
75,1.52,21.1275,50.555,11.505,7.3625
76,1.5375,21.7075,50.145,11.3075,7.53
77,1.5125,22.35,49.495,11.1425,7.59
78,1.5,22.995,49.0575,10.9325,7.7275
79,1.4175,23.6,48.6775,10.94,7.8675
80,1.4375,24.245,47.795,10.7375,7.8275
81,1.3975,25.03,47.31,10.7025,7.94
82,1.37,25.79,46.6725,10.6125,8.005
83,1.3425,26.425,45.94,10.445,7.9925
84,1.31,27.0275,45.405,10.4575,8.0075
85,1.335,27.6175,44.8725,10.45,8.085
86,1.355,28.315,44.1575,10.515,8.0575
87,1.3425,28.8775,43.4025,10.525,8.14
88,1.355,29.655,42.7275,10.555,8.2175
89,1.38,30.255,41.94,10.67,8.1875
90,1.3825,30.945,41.1725,10.645,8.1325
91,1.395,31.675,40.4925,10.8025,8.23
92,1.4125,32.405,39.5525,10.8375,8.1825
93,1.4525,32.985,39.025,10.8525,8.16
94,1.465,33.6475,38.3175,10.935,8.1175
95,1.5175,34.3375,37.6725,11.0225,8.0475
96,1.535,35.0075,36.86,11.18,8.02
97,1.5525,35.6925,36.2075,11.28,7.865
98,1.58,36.2875,35.4025,11.34,7.7875
99,1.5975,36.9125,34.6925,11.59,7.765
100,1.6125,37.6025,34.025,11.7175,7.685
101,1.6325,38.0725,33.135,11.9425,7.5925
102,1.66,38.7025,32.2975,12.285,7.49
103,1.71,39.28,31.6575,12.51,7.4
104,1.755,39.7875,30.8975,12.6875,7.4
105,1.79,40.43,30.2725,12.89,7.265
106,1.82,40.8925,29.61,13.1775,7.2575
107,1.8925,41.3025,29.0575,13.435,7.1525
108,1.9175,41.5275,28.35,13.665,6.9725
109,1.9975,42.0725,27.6325,13.945,6.885
110,2.0725,42.4875,27.2125,14.2875,6.775
111,2.115,42.9025,26.6525,14.5075,6.645
112,2.15,43.22,26.095,14.8025,6.445
113,2.1725,43.555,25.52,15.12,6.245
114,2.2475,43.9,25.115,15.39,6.0875
115,2.33,44.2175,24.6075,15.6975,6.02
116,2.385,44.395,24.05,16.0525,5.9125
117,2.42,44.62,23.4925,16.4975,5.765
118,2.52,44.73,22.8925,16.8375,5.5725
119,2.605,44.9525,22.46,17.17,5.4075
120,2.6475,45.2425,22.005,17.6975,5.3475
121,2.715,45.3725,21.5725,18.08,5.17
122,2.7725,45.44,21.1025,18.39,5.0525
123,2.8125,45.6025,20.73,18.875,4.9575
124,2.895,45.5875,20.37,19.325,4.7475
125,2.92,45.6975,20.0675,19.78,4.7
126,2.99,45.6475,19.695,19.98,4.5825
127,2.99,45.565,19.345,20.4125,4.52
128,3.05,45.565,18.9725,20.8275,4.325
129,3.1,45.5925,18.7675,21.3975,4.185
130,3.1175,45.545,18.45,21.7875,4.1125
131,3.15,45.5925,18.0875,22.14,3.985
132,3.22,45.5725,17.825,22.5475,3.845
133,3.3,45.4525,17.54,22.9525,3.7825
134,3.3425,45.4525,17.2375,23.3475,3.615
135,3.405,45.3425,17.03,23.76,3.4925
136,3.4825,45.22,16.82,24.1525,3.3875
137,3.5875,44.9625,16.535,24.6275,3.2775
138,3.6475,44.74,16.525,25.03,3.2125
139,3.7425,44.595,16.3675,25.46,3.095
140,3.795,44.345,16.145,25.9175,2.9925
141,3.885,44.1725,16.09,26.34,2.9175
142,3.93,43.865,16.0125,26.6675,2.8225
143,3.9625,43.625,15.8425,26.9275,2.7075
144,4.0375,43.365,15.665,27.2775,2.645
145,4.1125,43.1425,15.5975,27.74,2.5475
146,4.225,42.9075,15.6525,28.11,2.4625
147,4.315,42.66,15.515,28.4725,2.3625
148,4.295,42.275,15.5025,28.9525,2.2925
149,4.44,41.8125,15.455,29.3325,2.195
150,4.48,41.515,15.345,29.7025,2.0925
151,4.545,41.19,15.5425,30.1725,2.075
152,4.635,40.9225,15.3825,30.515,1.9975
153,4.66,40.6025,15.3175,30.795,1.9225
154,4.7225,40.18,15.3375,31.19,1.9125
155,4.79,39.74,15.3725,31.6225,1.795
156,4.81,39.3325,15.42,31.8575,1.7475
157,4.8125,39.0925,15.54,32.2475,1.7125
158,4.85,38.83,15.6275,32.5675,1.625
159,4.8925,38.43,15.76,32.805,1.54
160,4.9,38.02,15.9775,33.095,1.5025
161,4.9375,37.6275,16.055,33.3775,1.43
162,4.9875,37.355,16.2125,33.855,1.42
163,4.9875,36.9025,16.21,34.07,1.375
164,5.02,36.5125,16.3525,34.3275,1.3025
165,5.0275,36.185,16.435,34.54,1.305
166,5.0925,35.9275,16.68,34.785,1.3025
167,5.1,35.3675,16.75,34.86,1.29
168,5.1275,34.8175,16.965,35.3325,1.265
169,5.14,34.3525,17.0875,35.835,1.215
170,5.125,33.9575,17.2975,36.0575,1.2075
171,5.1325,33.5625,17.3925,36.3875,1.225
172,5.145,33.22,17.565,36.5025,1.24
173,5.145,32.7425,17.65,36.665,1.225
174,5.135,32.4375,17.8925,36.7725,1.2525
175,5.18,32.0275,18.1825,36.86,1.235
176,5.1775,31.505,18.465,37.145,1.215
177,5.1475,31.115,18.735,37.405,1.22
178,5.1875,30.665,19.0625,37.5725,1.2125
179,5.1675,30.4125,19.1825,37.665,1.18
180,5.1325,30.0075,19.4975,37.88,1.21
181,5.11,29.4325,19.825,38.005,1.2025
182,5.1125,29.05,20.105,38.0625,1.1825
183,5.1375,28.7875,20.4075,38.225,1.175
184,5.11,28.625,20.73,38.1675,1.1525
185,5.0225,28.315,20.9925,38.1375,1.12
186,4.99,28,21.365,38.1875,1.15
187,4.945,27.61,21.5525,38.2825,1.125
188,4.9275,27.29,22.01,38.315,1.09
189,4.93,26.8925,22.355,38.1975,1.0775
190,4.8825,26.6725,22.7475,38.28,1.1225
191,4.7975,26.3475,23.145,38.4075,1.045
192,4.795,25.955,23.51,38.32,1.025
193,4.7975,25.6375,23.84,38.29,1.035
194,4.6775,25.325,24.3,38.235,1.0325
195,4.62,25.085,24.6225,38.145,1.05
196,4.57,24.805,25.04,38.0125,1.06
197,4.5275,24.65,25.54,38.01,1.0525
198,4.4175,24.41,25.9275,37.7775,1.055
199,4.425,24.035,26.32,37.6775,1.0075
200,4.3775,23.85,26.835,37.52,1.0225
201,4.3225,23.5625,27.1425,37.2775,1.0625
202,4.2425,23.4975,27.4275,37.0825,1.0475
203,4.2025,23.295,27.96,37.0675,1.0825
204,4.1225,23.035,28.43,36.785,1.105
205,4.0875,22.88,28.9125,36.49,1.1225
206,3.975,22.7675,29.34,36.2175,1.1475
207,3.885,22.44,29.795,36.09,1.1525
208,3.7975,22.315,30.2575,35.9825,1.2
209,3.7975,22.11,30.71,35.7925,1.195
210,3.765,21.92,31.0425,35.7025,1.2325
211,3.6675,21.715,31.4325,35.4175,1.24
212,3.61,21.61,31.8275,35.255,1.2375
213,3.5625,21.4425,32.1825,35.045,1.24
214,3.505,21.33,32.55,34.8225,1.25
215,3.4575,21.1125,32.8775,34.66,1.26
216,3.42,21.035,33.375,34.4325,1.295
217,3.3925,20.9,33.6575,34.2875,1.2925
218,3.3025,20.79,34.0125,34.07,1.3275
219,3.2325,20.74,34.425,33.7925,1.34
220,3.2,20.6525,34.865,33.5975,1.37
221,3.135,20.61,35.0325,33.2425,1.41
222,3.1275,20.6175,35.2875,32.995,1.4625
223,3.03,20.3725,35.665,32.7475,1.48
224,3.015,20.375,35.9225,32.565,1.5175
225,2.9475,20.4,36.19,32.3175,1.545
226,2.875,20.2875,36.585,32.0225,1.5325
227,2.8775,20.2275,36.8725,31.925,1.5275
228,2.81,20.295,37.0675,31.7125,1.57
229,2.7525,20.195,37.315,31.425,1.5775
230,2.735,20.2825,37.5175,31.26,1.63
231,2.715,20.3375,37.9075,30.95,1.6425
232,2.66,20.41,38.1825,30.8275,1.6675
233,2.685,20.3725,38.25,30.6125,1.71
234,2.635,20.495,38.2975,30.3975,1.74
235,2.5875,20.585,38.38,30.01,1.76
236,2.5575,20.695,38.5825,29.8925,1.7725
237,2.5375,20.75,38.5775,29.6725,1.8025
238,2.53,20.8075,38.775,29.495,1.815
239,2.5125,21.015,38.92,29.305,1.8675
240,2.4625,21.1175,38.99,29.095,1.8875
241,2.4325,21.09,39.0525,28.93,1.925
242,2.4125,21.23,39.06,28.8775,1.955
243,2.3325,21.4725,39.1225,28.7525,2.0025
244,2.35,21.535,39.2925,28.4175,2.0775
245,2.3175,21.67,39.385,28.19,2.0425
246,2.3,21.7725,39.27,28.1725,2.0825
247,2.25,21.9675,39.26,27.955,2.07
248,2.195,22.1325,39.1375,27.7975,2.0925
249,2.2075,22.335,39.2075,27.5675,2.13
250,2.175,22.4975,39.1275,27.43,2.175
251,2.16,22.7875,39.0425,27.3775,2.2075
252,2.1,22.995,38.9675,27.225,2.2125
253,2.0925,23.1075,38.99,27.14,2.2325
254,2.0675,23.435,38.8525,26.995,2.21
255,2.0575,23.6825,38.7725,26.785,2.255
256,2.01,23.8925,38.62,26.705,2.28
257,2.0275,24.1375,38.6225,26.5625,2.265
258,2.0025,24.29,38.6025,26.4275,2.2625
259,2.0025,24.4525,38.41,26.205,2.25
260,2.0275,24.7025,38.48,25.98,2.28
261,2.0275,24.9425,38.3575,25.955,2.3225
262,2,25.0875,38.2825,25.74,2.325
263,2.0375,25.24,38.2675,25.6725,2.3125
264,2.04,25.4375,38.2,25.485,2.3525
265,2.035,25.65,38,25.45,2.34
266,2.0775,25.8325,37.98,25.41,2.3975
267,2.0825,25.91,37.905,25.2525,2.4425
268,2.075,26.2025,37.6175,25.0975,2.45
269,2.035,26.3575,37.6475,24.9,2.46
270,2.05,26.5625,37.5575,24.895,2.4575
271,2.055,26.89,37.43,24.7625,2.4925
272,2.055,26.8825,37.22,24.685,2.4825
273,2.0675,27.1475,37.095,24.5675,2.51
274,2.075,27.21,36.9675,24.545,2.5075
275,2.0725,27.4425,36.85,24.4725,2.59
276,2.1225,27.555,36.68,24.475,2.6075
277,2.14,27.83,36.5525,24.4925,2.6
278,2.1625,28.0075,36.27,24.2375,2.635
279,2.125,28.2175,36.18,24.165,2.6625
280,2.16,28.41,36.1025,24.1,2.705
281,2.1675,28.4725,35.87,23.9925,2.7275
282,2.18,28.665,35.6225,23.93,2.7425
283,2.21,28.765,35.45,23.955,2.7775
284,2.2575,29.0175,35.2625,23.9275,2.7625
285,2.265,29.085,35.1075,23.89,2.71
286,2.2525,29.345,34.975,23.87,2.7175
287,2.2875,29.525,34.855,24.0025,2.73
288,2.2975,29.69,34.69,23.8525,2.7025
289,2.3625,29.815,34.4,23.835,2.6925
290,2.4075,30.0325,34.265,23.875,2.6875
291,2.435,30.1525,34.1,23.91,2.67
292,2.4775,30.2375,33.8375,23.86,2.6825
293,2.5175,30.3575,33.5625,23.8875,2.6775
294,2.585,30.4425,33.3175,24.0125,2.735
295,2.61,30.5875,33.15,23.9625,2.705
296,2.6775,30.7975,32.9075,24.0575,2.6775
297,2.76,30.965,32.6275,24.08,2.6475
298,2.7825,31.0225,32.4525,24.085,2.64
299,2.8475,31.1525,32.17,24.12,2.62
300,2.895,31.275,31.9325,24.0225,2.61
301,2.94,31.38,31.7675,24.0675,2.65
302,2.995,31.4625,31.645,24.145,2.6525
303,3.045,31.475,31.4525,24.16,2.65
304,3.09,31.5275,31.1975,24.28,2.6125
305,3.1575,31.68,31.0075,24.3825,2.625
306,3.195,31.8425,30.69,24.55,2.6175
307,3.21,31.915,30.5575,24.5975,2.5875
308,3.205,31.9025,30.5425,24.6725,2.5475
309,3.2525,31.87,30.42,24.9675,2.5375
310,3.3225,31.9,30.2925,25.05,2.515
311,3.3875,31.995,30.065,25.14,2.5575
312,3.4475,32.1875,29.8,25.15,2.5325
313,3.505,32.2075,29.715,25.15,2.4875
314,3.575,32.1275,29.4525,25.3,2.475
315,3.6,32.2375,29.2875,25.49,2.505
316,3.6225,32.23,29.1725,25.63,2.505
317,3.715,32.17,28.885,25.71,2.52
318,3.7275,32.23,28.6575,25.8675,2.5075
319,3.79,32.1625,28.5725,25.8625,2.4925
320,3.7875,32.2625,28.4875,25.995,2.48
321,3.855,32.2575,28.2775,26.1675,2.4525
322,3.905,32.4225,28.115,26.3375,2.5
323,3.935,32.31,28.09,26.535,2.47
324,3.9525,32.35,27.75,26.515,2.3975
325,4.0225,32.2675,27.6625,26.84,2.3725
326,4.015,32.2125,27.465,27.0025,2.355
327,4.0175,32.1925,27.3375,27.1525,2.3375
328,4.05,32.18,27.13,27.3575,2.3225
329,4.085,32.1225,27.02,27.525,2.2975
330,4.1,31.9875,26.8975,27.68,2.285
331,4.095,31.9975,26.84,27.83,2.2275
332,4.125,31.9,26.7925,27.9475,2.1975
333,4.15,31.8475,26.8325,27.95,2.1975
334,4.185,31.78,26.8925,28.0825,2.185
335,4.2,31.665,26.88,28.225,2.215
336,4.1675,31.4575,26.84,28.3225,2.155
337,4.18,31.23,26.74,28.63,2.1475
338,4.1875,31.11,26.7725,28.775,2.1275
339,4.235,31.1225,26.695,28.9525,2.09
340,4.23,31.0075,26.655,29.0825,2.0575
341,4.2725,30.8025,26.6875,29.1375,2.0325
342,4.2525,30.705,26.7175,29.2775,2.035
343,4.295,30.495,26.7425,29.455,2.0225
344,4.375,30.4125,26.645,29.4475,2.0025
345,4.3625,30.2325,26.575,29.71,2.005
346,4.36,30.205,26.5625,29.9525,1.965
347,4.46,30.1975,26.4775,29.99,1.935
348,4.5025,30.1525,26.5575,30.0875,1.9375
349,4.505,29.8125,26.575,30.045,1.91
350,4.47,29.745,26.51,30.2425,1.895
351,4.435,29.6175,26.6075,30.2875,1.885
352,4.4,29.43,26.7225,30.4125,1.855
353,4.4025,29.3775,26.785,30.4025,1.8275
354,4.36,29.255,26.79,30.58,1.785
355,4.4275,29.03,26.85,30.72,1.7875
356,4.4025,28.85,26.955,30.825,1.755
357,4.4275,28.725,27.0125,30.8425,1.6925
358,4.4525,28.5725,27.0125,31.045,1.65
359,4.4475,28.4175,27.1625,31.1425,1.5975
360,4.43,28.17,27.3025,31.295,1.5625
361,4.4375,28.0425,27.1675,31.415,1.5325
362,4.4775,27.9025,27.265,31.4825,1.5325
363,4.465,27.8425,27.3625,31.7075,1.5375
364,4.455,27.7,27.365,31.75,1.4975
365,4.44,27.545,27.5325,31.8575,1.47
366,4.4825,27.375,27.6175,31.92,1.42
367,4.4175,27.2025,27.8775,31.93,1.3775
368,4.42,26.9675,28.0325,32.0225,1.36
369,4.4225,26.9475,28.0925,32.0425,1.3925
370,4.4175,26.79,28.08,32.06,1.365
371,4.3875,26.8325,28.345,32.115,1.3
372,4.3975,26.6975,28.44,32.125,1.2825
373,4.415,26.755,28.6175,32.1625,1.255
374,4.36,26.565,28.7775,32.2175,1.2325
375,4.39,26.42,28.8825,32.2275,1.22
376,4.3675,26.3925,28.9675,32.15,1.19
377,4.365,26.255,29.08,32.135,1.2
378,4.36,26.145,29.2675,32.16,1.1575
379,4.3725,26.0425,29.3525,32.24,1.12
380,4.3525,26.01,29.4575,32.0425,1.08
381,4.3625,25.9475,29.515,32.145,1.085
382,4.325,25.835,29.7375,32.085,1.08
383,4.3,25.7525,29.87,32.0625,1.05
384,4.3725,25.705,30.0225,31.91,1.0225
385,4.32,25.6775,30.2425,31.8575,1.0025
386,4.3,25.54,30.4,31.6675,1
387,4.2275,25.5025,30.665,31.5925,0.9925
388,4.2475,25.445,30.83,31.6,0.98
389,4.31,25.4325,31.035,31.5675,0.94
390,4.29,25.4675,31.02,31.54,0.945
391,4.29,25.475,31.3225,31.38,0.93
392,4.28,25.515,31.465,31.1425,0.905
393,4.18,25.415,31.495,31.0425,0.9
394,4.1775,25.6075,31.7475,30.8175,0.88
395,4.18,25.6225,31.8275,30.62,0.84
396,4.1525,25.635,31.93,30.44,0.8325
397,4.12,25.6225,32.2125,30.3275,0.825
398,4.095,25.6975,32.33,30.1625,0.8275
399,4.095,25.6725,32.3925,30.015,0.8175
400,4.0975,25.725,32.52,29.83,0.84
401,4.0675,25.825,32.705,29.675,0.83
402,4.1125,25.745,32.765,29.535,0.845
403,4.1025,25.97,32.8475,29.4225,0.8425
404,4.1025,25.9175,32.8825,29.2575,0.835
405,4.0825,25.9,33.0575,29.1975,0.82
406,4.0575,25.9375,33.2375,28.975,0.8025
407,4.0625,25.8975,33.2975,28.8975,0.815
408,4.0575,26.0575,33.405,28.7475,0.8075
409,4.0675,26.015,33.4425,28.6225,0.8075
410,4.0475,26.0475,33.45,28.515,0.8025
411,4.04,26.0425,33.42,28.43,0.7925
412,4.065,26.3125,33.6075,28.21,0.795
413,4.0275,26.35,33.6925,28.1025,0.8175
414,4.005,26.375,33.8675,28.045,0.8325
415,4.04,26.345,33.905,27.805,0.82
416,4.075,26.5625,34.0175,27.62,0.8325
417,4.0375,26.6475,34.015,27.5725,0.8775
418,4.0125,26.6325,33.88,27.225,0.8975
