implementation,run,length,time_seconds
cuda,1,100,15.873624526
cuda,2,100,15.868091702
cuda,3,100,15.983882816
cuda,4,100,15.943423485
cuda,5,100,16.042687059
cuda,6,100,16.141053609
cuda,7,100,16.066408102
cuda,8,100,16.002437922
cuda,9,100,15.982493085
cuda,10,100,16.063806284
cuda,11,100,15.944412774
cuda,12,100,16.019755544
cuda,13,100,15.913967740
cuda,14,100,15.834277842
cuda,15,100,16.017464892
cuda,16,100,15.889225085
cuda,17,100,15.947204749
cuda,18,100,15.803971457
cuda,19,100,15.896896819
cuda,20,100,15.978457773
cuda-max,1,100,4.234221272
cuda-max,2,100,4.237084491
cuda-max,3,100,4.221181499
cuda-max,4,100,4.209567477
cuda-max,5,100,4.183888825
cuda-max,6,100,4.191614211
cuda-max,7,100,4.190707723
cuda-max,8,100,4.191685982
cuda-max,9,100,4.184259607
cuda-max,10,100,4.191761807
cuda-max,11,100,4.184780440
cuda-max,12,100,4.197806908
cuda-max,13,100,4.184468034
cuda-max,14,100,4.203669418
cuda-max,15,100,4.196522689
cuda-max,16,100,4.202456297
cuda-max,17,100,4.245478251
cuda-max,18,100,4.235953482
cuda-max,19,100,4.194799003
cuda-max,20,100,4.200993176
implementation,run,length,time_seconds
cuda,1,200,24.677616108
cuda,2,200,24.744975134
cuda,3,200,24.671208385
cuda,4,200,24.619990977
cuda,5,200,25.565600687
cuda,6,200,24.959997504
cuda,7,200,24.837198564
cuda,8,200,24.679593894
cuda,9,200,24.700431054
cuda,10,200,24.924574750
cuda-max,1,200,6.932900688
cuda-max,2,200,6.865711517
cuda-max,3,200,6.932235897
cuda-max,4,200,6.921630950
cuda-max,5,200,6.934133160
cuda-max,6,200,8.257813705
cuda-max,7,200,6.960895359
cuda-max,8,200,6.919311839
cuda-max,9,200,6.985926899
cuda-max,10,200,6.918471918
cuda,1,300,34.428259724
cuda,2,300,34.969272969
cuda,3,300,35.080927619
cuda,4,300,34.456882799
cuda,5,300,34.217224259
cuda,6,300,34.968356494
cuda,7,300,34.630825400
cuda,8,300,34.684005549
cuda,9,300,34.454248083
cuda,10,300,35.236945994
cuda-max,1,300,10.395345683
cuda-max,2,300,10.370737943
cuda-max,3,300,10.371502821
cuda-max,4,300,10.401195886
cuda-max,5,300,10.407619758
cuda-max,6,300,10.355586293
cuda-max,7,300,10.384679676
cuda-max,8,300,10.367320585
cuda-max,9,300,10.390637676
cuda-max,10,300,10.365809072
cuda,1,400,44.737889857
cuda,2,400,44.890154315
cuda,3,400,45.032162359
cuda,4,400,44.853715599
cuda,5,400,44.975637817
cuda,6,400,45.012505465
cuda,7,400,44.815087635
cuda,8,400,44.999117456
cuda,9,400,44.622178998
cuda,10,400,44.836608422
cuda-max,1,400,12.500159555
cuda-max,2,400,12.440801478
cuda-max,3,400,12.515568069
cuda-max,4,400,12.444696897
cuda-max,5,400,12.502536447
cuda-max,6,400,12.456730297
cuda-max,7,400,12.550846827
cuda-max,8,400,12.499258805
cuda-max,9,400,12.502289543
cuda-max,10,400,12.451943699
cuda,1,600,64.705672964
cuda,2,600,64.138969009
cuda,3,600,64.266941729
cuda,4,600,64.267372678
cuda,5,600,64.244846633
cuda,6,600,64.656132461
cuda,7,600,64.559296563
cuda,8,600,64.366698398
cuda,9,600,64.766045886
cuda,10,600,64.661328743
cuda-max,1,600,18.788554774
cuda-max,2,600,18.837169032
cuda-max,3,600,18.864628409
cuda-max,4,600,18.841864290
cuda-max,5,600,18.755548037
cuda-max,6,600,18.984743177
cuda-max,7,600,18.859273888
cuda-max,8,600,18.939368641
cuda-max,9,600,18.901412109
cuda-max,10,600,18.954059854
cuda-max,1,800,83.294688912
cuda-max,2,800,83.221421057
cuda-max,3,800,83.579721859
cuda-max,4,800,83.117541816
cuda-max,5,800,83.570186256
cuda-max,6,800,83.053316123
cuda-max,7,800,82.954497074
cuda-max,8,800,83.116388020
cuda-max,9,800,83.242495538
cuda-max,10,800,83.397885533
cuda-max,1,800,23.916442226
cuda-max,2,800,26.163865429
cuda-max,3,800,23.986562672
cuda-max,4,800,24.032321495
cuda-max,5,800,23.981448360
cuda-max,6,800,24.051699424
cuda-max,7,800,23.980928550
cuda-max,8,800,24.053882355
cuda-max,9,800,23.990165080
cuda-max,10,800,24.056508501
