numRandoms,run,time_seconds
1000000,1,12.388136126
1000000,2,12.478462514
1000000,3,12.502140184
1000000,4,12.458157793
1000000,5,12.547590924
1000000,6,12.414457396
1000000,7,12.491703580
1000000,8,12.425066325
1000000,9,12.498484599
1000000,10,12.423495903
5000000,1,12.575368581
5000000,2,12.477722207
5000000,3,12.549002732
5000000,4,12.445744417
5000000,5,12.509937689
5000000,6,12.432519192
5000000,7,12.509973241
5000000,8,12.428453423
5000000,9,12.507530527
5000000,10,12.432952747
10000000,1,12.522798620
10000000,2,12.512085394
10000000,3,12.450682900
10000000,4,12.527345630
10000000,5,12.454397335
10000000,6,12.535966194
10000000,7,12.500014327
10000000,8,12.532037003
10000000,9,12.500538002
10000000,10,12.526874229
20000000,1,12.459901009
20000000,2,12.524439766
20000000,3,12.452179733
20000000,4,12.573227715
20000000,5,12.500048588
20000000,6,12.475010981
20000000,7,12.456796990
20000000,8,12.510437664
20000000,9,12.447422899
20000000,10,12.489006552
30000000,1,12.427152702
30000000,2,12.493894748
30000000,3,12.443319609
30000000,4,12.490522046
30000000,5,12.524290524
30000000,6,12.484065708
30000000,7,12.445851627
30000000,8,12.483605730
30000000,9,12.441051888
30000000,10,12.483638250
40000000,1,12.440131829
40000000,2,12.530975266
40000000,3,12.438840360
40000000,4,12.523027778
40000000,5,12.437100765
40000000,6,12.530762794
40000000,7,12.439219324
40000000,8,12.532862360
40000000,9,12.502232327
40000000,10,12.538363276
50000000,1,12.437911664
50000000,2,12.588043110
50000000,3,12.434252759
50000000,4,12.541530522
50000000,5,12.433936508
50000000,6,12.581255969
50000000,7,12.455767595
50000000,8,12.535601702
50000000,9,12.433969120
50000000,10,12.526944816
